retailer_id,retailer_name,distributor_id,territory_id,outlet_type,town_name,pincode,onboard_date,status,deactivation_date
RET-00017,Jai Durga Stores - 11,DIST-009,T-WB-07,Kirana Store,Asansol,713303,2023-04-22,Active,
RET-00018,Roy General Store - 09,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-04-22,Active,
RET-00019,Jai Ganesh Stores - 04,DIST-003,T-WB-03,Kirana Store,Arambagh,712601,2023-04-24,Active,
RET-00020,Bose & Sons,DIST-002,T-WB-02,Kirana Store,Chinsurah,712104,2023-04-25,Active,
RET-00021,Jai Durga Stores - 15,DIST-011,T-WB-09,Kirana Store,Durgapur,713202,2023-04-25,Inactive,2024-11-11
RET-00022,Saha Brothers - 04,DIST-002,T-WB-02,Kirana Store,Chinsurah,712104,2023-04-26,Active,
RET-00023,Maa Saraswati Bhandar,DIST-001,T-WB-01,Kirana Store,Serampore,712202,2023-04-27,Active,
RET-00024,Maa Lakshmi Bhandar - 04,DIST-003,T-WB-03,Kirana Store,Arambagh,712601,2023-04-28,Inactive,2024-10-06
RET-00025,Ghosh General Store - 04,DIST-006,T-WB-05,Kirana Store,Katwa,713131,2023-04-28,Active,
RET-00026,Maa Vishnu Bhandar - 23,DIST-011,T-WB-09,Kirana Store,Durgapur,713202,2023-04-28,Active,
RET-00027,Maa Vishnu Bhandar - 05,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-04-29,Active,
RET-00028,Sen General Store - 03,DIST-004,T-WB-04,Kirana Store,Bardhaman,713101,2023-04-29,Inactive,2024-08-09
RET-00029,Maa Radha Bhandar - 22,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-05-02,Active,
RET-00030,Mondal Provision Store - 06,DIST-007,T-WB-06,Kirana Store,Uluberia,711315,2023-05-03,Active,
RET-00031,Saha & Sons - 04,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-05-04,Active,
RET-00032,Jai Vishnu Stores - 08,DIST-006,T-WB-05,Kirana Store,Katwa,713131,2023-05-08,Active,
RET-00033,Jai Ganesh Stores - 09,DIST-006,T-WB-05,General Store,Katwa,713130,2023-05-08,Active,
RET-00034,Dakhin Kirana Bhandar - 24,DIST-009,T-WB-07,Kirana Store,Asansol,713303,2023-05-08,Active,
RET-00035,Mukherjee Provision Store,DIST-001,T-WB-01,Kirana Store,Serampore,712202,2023-05-09,Active,
RET-00036,Kundu Provision Store - 02,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-05-09,Active,
RET-00037,Maa Kali Bhandar - 09,DIST-003,T-WB-03,General Store,Arambagh,712601,2023-05-09,Active,
RET-00038,Haldar Brothers - 05,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-05-09,Active,
RET-00039,Maa Saraswati Bhandar - 24,DIST-011,T-WB-09,Kirana Store,Durgapur,713201,2023-05-09,Active,
RET-00040,Paul & Sons - 02,DIST-001,T-WB-01,Kirana Store,Serampore,712203,2023-05-10,Active,
RET-00041,Maa Durga Bhandar - 10,DIST-004,T-WB-04,Kirana Store,Bardhaman,713101,2023-05-15,Active,
RET-00042,Patra Brothers - 04,DIST-007,T-WB-06,Kirana Store,Uluberia,711317,2023-05-15,Active,
RET-00043,Sen General Store - 11,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-05-15,Active,
RET-00044,Jai Lakshmi Stores - 11,DIST-007,T-WB-06,Kirana Store,Uluberia,711316,2023-05-16,Active,
RET-00045,Ghosh Provision Store - 10,DIST-009,T-WB-07,Kirana Store,Asansol,713301,2023-05-16,Active,
RET-00046,Saha General Store,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-05-17,Active,
RET-00047,Ghosh Provision Store - 07,DIST-004,T-WB-04,Kirana Store,Bardhaman,713101,2023-05-18,Inactive,2026-03-08
RET-00048,Mukherjee General Store - 04,DIST-005,T-WB-04,Kirana Store,Bardhaman,713102,2023-05-18,Active,
RET-00049,Shree Lakshmi Traders - 05,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-05-19,Active,
RET-00050,Chatterjee General Store - 07,DIST-008,T-WB-07,Kirana Store,Asansol,713303,2023-05-19,Active,
RET-00051,Shree Saraswati Traders - 04,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-05-23,Active,
RET-00052,Paschim Kirana Bhandar - 14,DIST-003,T-WB-03,Kirana Store,Arambagh,712601,2023-05-26,Active,
RET-00053,Biswas Provision Store,DIST-001,T-WB-01,Kirana Store,Serampore,712202,2023-05-27,Active,
RET-00054,Kundu & Sons - 06,DIST-011,T-WB-09,Kirana Store,Durgapur,713203,2023-05-29,Active,
RET-00055,Purba Kirana Bhandar - 24,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-05-31,Active,
RET-00056,Shree Durga Traders - 24,DIST-011,T-WB-09,Kirana Store,Durgapur,713204,2023-05-31,Active,
RET-00057,Purba Kirana Bhandar - 03,DIST-002,T-WB-02,General Store,Chinsurah,712102,2023-06-02,Inactive,2024-08-24
RET-00058,Jai Saraswati Stores - 10,DIST-005,T-WB-04,Kirana Store,Bardhaman,713104,2023-06-03,Active,
RET-00059,Maa Durga Bhandar,DIST-001,T-WB-01,Kirana Store,Serampore,712203,2023-06-05,Inactive,2024-09-28
RET-00060,Shree Durga Traders - 19,DIST-009,T-WB-07,Kirana Store,Asansol,713301,2023-06-05,Active,
RET-00061,Sen Provision Store,DIST-001,T-WB-01,Kirana Store,Serampore,712203,2023-06-06,Inactive,2025-09-28
RET-00062,Patra & Sons - 03,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-06-06,Active,
RET-00063,Biswas Provision Store - 07,DIST-007,T-WB-06,Kirana Store,Uluberia,711316,2023-06-07,Active,
RET-00064,Bose Provision Store - 02,DIST-003,T-WB-03,General Store,Arambagh,712602,2023-06-08,Active,
RET-00065,Saha Brothers - 10,DIST-010,T-WB-08,Kirana Store,Asansol,713321,2023-06-08,Active,
RET-00066,Banerjee Brothers - 02,DIST-001,T-WB-01,Kirana Store,Serampore,712202,2023-06-09,Active,
RET-00067,Biswas & Sons - 05,DIST-003,T-WB-03,Kirana Store,Arambagh,712601,2023-06-09,Active,
RET-00068,Mitra & Sons - 03,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-06-09,Active,
RET-00069,Biswas Brothers - 09,DIST-009,T-WB-07,Kirana Store,Asansol,713303,2023-06-09,Active,
RET-00070,Shree Kali Traders - 12,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-06-09,Active,
RET-00071,Shree Vishnu Traders - 05,DIST-004,T-WB-04,Kirana Store,Bardhaman,713104,2023-06-10,Active,
RET-00072,Chatterjee General Store - 04,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-06-14,Active,
RET-00073,Nabagram Kirana Bhandar - 31,DIST-011,T-WB-09,Kirana Store,Durgapur,713201,2023-06-14,Active,
RET-00074,Chakraborty Brothers - 04,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-06-15,Active,
RET-00075,Paschim Kirana Bhandar - 29,DIST-009,T-WB-07,Kirana Store,Asansol,713303,2023-06-16,Active,
RET-00076,Pal General Store - 04,DIST-011,T-WB-09,Kirana Store,Durgapur,713202,2023-06-17,Active,
RET-00077,Majumdar General Store - 03,DIST-007,T-WB-06,Kirana Store,Uluberia,711316,2023-06-22,Active,
RET-00078,Dakhin Kirana Bhandar - 06,DIST-002,T-WB-02,Kirana Store,Chinsurah,712102,2023-06-23,Active,
RET-00079,Shree Durga Traders - 12,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-06-23,Active,
RET-00080,Mondal General Store - 05,DIST-007,T-WB-06,Kirana Store,Uluberia,711315,2023-06-23,Active,
RET-00081,Mukherjee Brothers - 05,DIST-010,T-WB-08,Kirana Store,Asansol,713321,2023-06-23,Active,
RET-00082,Maa Shiva Bhandar - 24,DIST-011,T-WB-09,Kirana Store,Durgapur,713201,2023-06-23,Active,
RET-00083,Chakraborty General Store - 04,DIST-004,T-WB-04,Kirana Store,Bardhaman,713102,2023-06-24,Active,
RET-00084,Sen Brothers - 04,DIST-004,T-WB-04,Kirana Store,Bardhaman,713102,2023-06-26,Active,
RET-00085,Mukherjee & Sons - 06,DIST-011,T-WB-09,General Store,Durgapur,713204,2023-06-26,Active,
RET-00086,Shree Ganesh Traders - 11,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-06-27,Active,
RET-00087,Jai Vishnu Stores - 12,DIST-007,T-WB-06,Kirana Store,Uluberia,711315,2023-06-27,Active,
RET-00088,Biswas & Sons,DIST-001,T-WB-01,Kirana Store,Serampore,712203,2023-06-28,Active,
RET-00089,Chatterjee General Store - 02,DIST-002,T-WB-02,Kirana Store,Chinsurah,712102,2023-06-28,Active,
RET-00090,Sen General Store - 09,DIST-009,T-WB-07,Kirana Store,Asansol,713301,2023-06-29,Active,
RET-00091,Roy Provision Store - 12,DIST-010,T-WB-08,Kirana Store,Asansol,713321,2023-06-29,Active,
RET-00092,Patra & Sons - 02,DIST-002,T-WB-02,Kirana Store,Chinsurah,712104,2023-06-30,Active,
RET-00093,Mukherjee General Store - 02,DIST-002,T-WB-02,Kirana Store,Chinsurah,712104,2023-07-01,Active,
RET-00094,Banerjee Brothers,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-07-04,Active,
RET-00095,Maa Ganesh Bhandar - 16,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-07-04,Active,
RET-00096,Chatterjee General Store - 05,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-07-05,Active,
RET-00097,Shree Radha Traders - 13,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-07-05,Active,
RET-00098,Jai Radha Stores - 14,DIST-008,T-WB-07,Kirana Store,Asansol,713301,2023-07-05,Active,
RET-00099,Jai Saraswati Stores - 17,DIST-009,T-WB-07,Kirana Store,Asansol,713301,2023-07-05,Active,
RET-00100,Biswas Provision Store - 10,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-07-05,Active,
RET-00101,Nandi & Sons - 08,DIST-009,T-WB-07,Kirana Store,Asansol,713303,2023-07-06,Active,
RET-00102,Haldar Brothers - 04,DIST-004,T-WB-04,Kirana Store,Bardhaman,713103,2023-07-07,Active,
RET-00103,Shree Durga Traders - 25,DIST-011,T-WB-09,Kirana Store,Durgapur,713203,2023-07-08,Active,
RET-00104,Maa Lakshmi Bhandar - 21,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-07-10,Active,
RET-00105,Ghosh Brothers,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-07-12,Active,
RET-00106,Mondal Provision Store - 02,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-07-12,Active,
RET-00107,Pal Brothers - 03,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-07-13,Active,
RET-00108,Patra Brothers - 05,DIST-009,T-WB-07,Kirana Store,Asansol,713301,2023-07-13,Active,
RET-00109,Dey Provision Store - 05,DIST-004,T-WB-04,Kirana Store,Bardhaman,713101,2023-07-14,Active,
RET-00110,Bose Brothers - 03,DIST-005,T-WB-04,Kirana Store,Bardhaman,713104,2023-07-14,Active,
RET-00111,Paschim Kirana Bhandar - 24,DIST-007,T-WB-06,Kirana Store,Uluberia,711315,2023-07-14,Active,
RET-00112,Bose Provision Store - 03,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-07-15,Active,
RET-00113,Shree Ganesh Traders - 14,DIST-005,T-WB-04,Kirana Store,Bardhaman,713102,2023-07-15,Active,
RET-00114,Shree Kali Traders - 05,DIST-005,T-WB-04,Kirana Store,Bardhaman,713103,2023-07-15,Active,
RET-00115,Sen Brothers - 06,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-07-15,Active,
RET-00116,Uttar Kirana Bhandar,DIST-001,T-WB-01,Kirana Store,Serampore,712203,2023-07-17,Active,
RET-00117,Jai Saraswati Stores - 23,DIST-011,T-WB-09,Kirana Store,Durgapur,713202,2023-07-17,Active,
RET-00118,Biswas Provision Store - 03,DIST-002,T-WB-02,Kirana Store,Chinsurah,712104,2023-07-18,Active,
RET-00119,Maa Lakshmi Bhandar - 03,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-07-18,Active,
RET-00120,Shree Shiva Traders - 14,DIST-007,T-WB-06,Kirana Store,Uluberia,711316,2023-07-18,Active,
RET-00121,Jai Ganesh Stores - 13,DIST-008,T-WB-07,Kirana Store,Asansol,713302,2023-07-18,Inactive,2024-10-20
RET-00122,Pal & Sons - 04,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-07-19,Active,
RET-00123,Maa Shiva Bhandar - 23,DIST-011,T-WB-09,Kirana Store,Durgapur,713203,2023-07-19,Active,
RET-00124,Saha Provision Store - 03,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-07-20,Active,
RET-00125,Shree Radha Traders - 15,DIST-009,T-WB-07,Kirana Store,Asansol,713303,2023-07-20,Active,
RET-00126,Nandi General Store - 06,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-07-20,Active,
RET-00127,Jai Radha Stores - 20,DIST-010,T-WB-08,General Store,Asansol,713305,2023-07-20,Active,
RET-00128,Shree Radha Traders - 20,DIST-011,T-WB-09,Kirana Store,Durgapur,713204,2023-07-20,Inactive,2026-03-20
RET-00129,Jai Durga Stores,DIST-001,T-WB-01,Kirana Store,Serampore,712202,2023-07-21,Active,
RET-00130,Maa Durga Bhandar - 06,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-07-21,Active,
RET-00131,Mondal Brothers - 03,DIST-004,T-WB-04,Kirana Store,Bardhaman,713101,2023-07-21,Active,
RET-00132,Chatterjee Brothers,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-07-22,Active,
RET-00133,Paul Brothers - 06,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-07-22,Active,
RET-00134,Mitra Provision Store - 06,DIST-007,T-WB-06,Kirana Store,Uluberia,711315,2023-07-24,Active,
RET-00135,Sarkar General Store,DIST-002,T-WB-02,Kirana Store,Chinsurah,712104,2023-07-25,Active,
RET-00136,Sen General Store - 08,DIST-007,T-WB-06,Kirana Store,Uluberia,711316,2023-07-25,Active,
RET-00137,Haldar General Store,DIST-001,T-WB-01,Kirana Store,Serampore,712203,2023-07-26,Active,
RET-00138,Maa Radha Bhandar - 03,DIST-002,T-WB-02,Kirana Store,Chinsurah,712104,2023-07-26,Active,
RET-00139,Biswas Brothers - 07,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-07-26,Inactive,2024-06-10
RET-00140,Jai Durga Stores - 05,DIST-006,T-WB-05,General Store,Katwa,713130,2023-07-26,Active,
RET-00141,Shree Radha Traders - 21,DIST-011,T-WB-09,Kirana Store,Durgapur,713201,2023-07-26,Active,
RET-00142,Maa Vishnu Bhandar - 26,DIST-011,T-WB-09,Kirana Store,Durgapur,713203,2023-07-26,Active,
RET-00143,Mondal Provision Store - 05,DIST-007,T-WB-06,Kirana Store,Uluberia,711317,2023-07-27,Active,
RET-00144,Shree Ganesh Traders - 18,DIST-007,T-WB-06,Kirana Store,Uluberia,711317,2023-07-27,Active,
RET-00145,Shree Saraswati Traders,DIST-001,T-WB-01,Kirana Store,Serampore,712203,2023-07-28,Active,
RET-00146,Roy Provision Store - 05,DIST-003,T-WB-03,Kirana Store,Arambagh,712601,2023-07-29,Active,
RET-00147,Purba Kirana Bhandar - 10,DIST-006,T-WB-05,Kirana Store,Katwa,713131,2023-07-29,Active,
RET-00148,Purba Kirana Bhandar - 22,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-07-29,Active,
RET-00149,Paul & Sons,DIST-001,T-WB-01,General Store,Serampore,712202,2023-08-01,Active,
RET-00150,Maa Lakshmi Bhandar - 12,DIST-006,T-WB-05,Kirana Store,Katwa,713131,2023-08-01,Active,
RET-00151,Banerjee Provision Store - 06,DIST-011,T-WB-09,Kirana Store,Durgapur,713202,2023-08-01,Active,
RET-00152,Mukherjee Brothers - 07,DIST-011,T-WB-09,Kirana Store,Durgapur,713203,2023-08-01,Active,
RET-00153,Roy Provision Store - 02,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-08-02,Active,
RET-00154,Jai Lakshmi Stores - 04,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-08-02,Active,
RET-00155,Banerjee General Store - 04,DIST-004,T-WB-04,General Store,Bardhaman,713104,2023-08-02,Active,
RET-00156,Paschim Kirana Bhandar - 22,DIST-006,T-WB-05,Kirana Store,Katwa,713131,2023-08-02,Inactive,2024-09-13
RET-00157,Jai Kali Stores - 19,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-08-02,Active,
RET-00158,Nabagram Kirana Bhandar - 03,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-08-03,Active,
RET-00159,Mukherjee Brothers - 04,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-08-03,Active,
RET-00160,Roy & Sons,DIST-002,T-WB-02,General Store,Chinsurah,712101,2023-08-04,Active,
RET-00161,Maa Saraswati Bhandar - 09,DIST-005,T-WB-04,Kirana Store,Bardhaman,713104,2023-08-07,Active,
RET-00162,Maa Kali Bhandar - 02,DIST-001,T-WB-01,Kirana Store,Serampore,712202,2023-08-08,Active,
RET-00163,Maa Radha Bhandar - 10,DIST-007,T-WB-06,General Store,Uluberia,711315,2023-08-08,Active,
RET-00164,Paschim Kirana Bhandar - 03,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-08-09,Active,
RET-00165,Saha General Store - 02,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-08-10,Active,
RET-00166,Mitra Provision Store - 03,DIST-005,T-WB-04,Kirana Store,Bardhaman,713102,2023-08-10,Active,
RET-00167,Maa Ganesh Bhandar - 24,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-08-10,Active,
RET-00168,Kundu Brothers - 03,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-08-11,Active,
RET-00169,Jai Ganesh Stores - 12,DIST-007,T-WB-06,Kirana Store,Uluberia,711317,2023-08-11,Active,
RET-00170,Mondal General Store - 06,DIST-008,T-WB-07,Kirana Store,Asansol,713301,2023-08-11,Active,
RET-00171,Das Provision Store - 05,DIST-007,T-WB-06,Kirana Store,Uluberia,711316,2023-08-12,Active,
RET-00172,Bose & Sons - 07,DIST-010,T-WB-08,Kirana Store,Asansol,713321,2023-08-12,Active,
RET-00173,Das Provision Store - 09,DIST-011,T-WB-09,Kirana Store,Durgapur,713203,2023-08-12,Active,
RET-00174,Uttar Kirana Bhandar - 08,DIST-003,T-WB-03,Kirana Store,Arambagh,712601,2023-08-14,Active,
RET-00175,Saha & Sons - 02,DIST-003,T-WB-03,Kirana Store,Arambagh,712601,2023-08-14,Active,
RET-00176,Maa Radha Bhandar - 19,DIST-009,T-WB-07,Kirana Store,Asansol,713302,2023-08-14,Active,
RET-00177,Pal Brothers,DIST-002,T-WB-02,Kirana Store,Chinsurah,712102,2023-08-15,Active,
RET-00178,Purba Kirana Bhandar - 02,DIST-002,T-WB-02,Kirana Store,Chinsurah,712102,2023-08-16,Active,
RET-00179,Purba Kirana Bhandar - 25,DIST-010,T-WB-08,General Store,Asansol,713305,2023-08-16,Active,
RET-00180,Paschim Kirana Bhandar - 18,DIST-004,T-WB-04,Kirana Store,Bardhaman,713104,2023-08-17,Active,
RET-00181,Mondal Brothers - 04,DIST-005,T-WB-04,Kirana Store,Bardhaman,713103,2023-08-17,Active,
RET-00182,Nandi Brothers - 06,DIST-005,T-WB-04,Kirana Store,Bardhaman,713101,2023-08-17,Active,
RET-00183,Paschim Kirana Bhandar - 30,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-08-17,Active,
RET-00184,Saha Brothers - 05,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-08-18,Active,
RET-00185,Uttar Kirana Bhandar - 19,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-08-18,Active,
RET-00186,Purba Kirana Bhandar - 19,DIST-008,T-WB-07,Kirana Store,Asansol,713302,2023-08-18,Active,
RET-00187,Patra & Sons - 07,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-08-18,Active,
RET-00188,Shree Lakshmi Traders,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-08-19,Active,
RET-00189,Haldar General Store - 07,DIST-003,T-WB-03,General Store,Arambagh,712602,2023-08-21,Active,
RET-00190,Maa Vishnu Bhandar - 09,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-08-21,Active,
RET-00191,Shree Shiva Traders - 17,DIST-009,T-WB-07,Kirana Store,Asansol,713302,2023-08-21,Active,
RET-00192,Jai Lakshmi Stores - 16,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-08-21,Active,
RET-00193,Shree Ganesh Traders - 17,DIST-006,T-WB-05,Kirana Store,Katwa,713131,2023-08-23,Active,
RET-00194,Chakraborty & Sons - 02,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-08-24,Active,
RET-00195,Chakraborty Provision Store - 09,DIST-011,T-WB-09,Kirana Store,Durgapur,713204,2023-08-24,Active,
RET-00196,Pal General Store - 05,DIST-011,T-WB-09,General Store,Durgapur,713202,2023-08-24,Active,
RET-00197,Patra General Store - 02,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-08-25,Active,
RET-00198,Uttar Kirana Bhandar - 23,DIST-007,T-WB-06,Kirana Store,Uluberia,711315,2023-08-26,Active,
RET-00199,Maa Shiva Bhandar - 19,DIST-009,T-WB-07,Kirana Store,Asansol,713302,2023-08-26,Active,
RET-00200,Ghosh General Store - 05,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-08-29,Active,
RET-00201,Shree Radha Traders - 14,DIST-007,T-WB-06,Kirana Store,Uluberia,711316,2023-08-29,Inactive,2024-06-23
RET-00202,Chatterjee Provision Store - 04,DIST-008,T-WB-07,Kirana Store,Asansol,713302,2023-08-29,Active,
RET-00203,Purba Kirana Bhandar - 14,DIST-007,T-WB-06,Kirana Store,Uluberia,711317,2023-08-31,Active,
RET-00204,Nabagram Kirana Bhandar - 30,DIST-011,T-WB-09,Kirana Store,Durgapur,713203,2023-08-31,Active,
RET-00205,Mukherjee General Store,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-09-01,Active,
RET-00206,Majumdar Brothers - 11,DIST-010,T-WB-08,General Store,Asansol,713304,2023-09-01,Active,
RET-00207,Uttar Kirana Bhandar - 30,DIST-010,T-WB-08,Kirana Store,Asansol,713321,2023-09-01,Inactive,2024-09-27
RET-00208,Dakhin Kirana Bhandar - 15,DIST-005,T-WB-04,Kirana Store,Bardhaman,713104,2023-09-02,Active,
RET-00209,Shree Durga Traders - 18,DIST-009,T-WB-07,Kirana Store,Asansol,713302,2023-09-02,Active,
RET-00210,Dakhin Kirana Bhandar - 28,DIST-011,T-WB-09,Kirana Store,Durgapur,713203,2023-09-02,Active,
RET-00211,Jai Radha Stores - 03,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-09-04,Active,
RET-00212,Banerjee Brothers - 05,DIST-002,T-WB-02,Kirana Store,Chinsurah,712104,2023-09-04,Active,
RET-00213,Maa Durga Bhandar - 16,DIST-007,T-WB-06,Kirana Store,Uluberia,711316,2023-09-04,Active,
RET-00214,Roy Brothers - 03,DIST-008,T-WB-07,General Store,Asansol,713301,2023-09-04,Active,
RET-00215,Jai Shiva Stores - 06,DIST-003,T-WB-03,Kirana Store,Arambagh,712602,2023-09-05,Active,
RET-00216,Maa Lakshmi Bhandar - 18,DIST-009,T-WB-07,Kirana Store,Asansol,713302,2023-09-05,Active,
RET-00217,Paul Provision Store,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-09-06,Active,
RET-00218,Maa Ganesh Bhandar - 12,DIST-004,T-WB-04,Kirana Store,Bardhaman,713103,2023-09-06,Active,
RET-00219,Jai Saraswati Stores,DIST-001,T-WB-01,Kirana Store,Serampore,712202,2023-09-08,Active,
RET-00220,Shree Durga Traders - 10,DIST-004,T-WB-04,Kirana Store,Bardhaman,713103,2023-09-09,Active,
RET-00221,Jai Lakshmi Stores - 14,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-09-09,Active,
RET-00222,Paul Brothers - 04,DIST-004,T-WB-04,Kirana Store,Bardhaman,713102,2023-09-11,Active,
RET-00223,Uttar Kirana Bhandar - 13,DIST-004,T-WB-04,Kirana Store,Bardhaman,713101,2023-09-11,Active,
RET-00224,Jai Kali Stores - 11,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-09-11,Active,
RET-00225,Jai Kali Stores - 21,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-09-11,Active,
RET-00226,Maa Kali Bhandar - 23,DIST-009,T-WB-07,Kirana Store,Asansol,713301,2023-09-12,Inactive,2025-03-18
RET-00227,Maa Durga Bhandar - 03,DIST-002,T-WB-02,General Store,Chinsurah,712102,2023-09-13,Active,
RET-00228,Purba Kirana Bhandar - 12,DIST-006,T-WB-05,Kirana Store,Katwa,713131,2023-09-13,Active,
RET-00229,Dakhin Kirana Bhandar - 22,DIST-008,T-WB-07,Kirana Store,Asansol,713302,2023-09-13,Active,
RET-00230,Paschim Kirana Bhandar - 34,DIST-011,T-WB-09,Kirana Store,Durgapur,713201,2023-09-13,Active,
RET-00231,Shree Lakshmi Traders - 13,DIST-006,T-WB-05,Kirana Store,Katwa,713130,2023-09-14,Active,
RET-00232,Jai Lakshmi Stores - 22,DIST-011,T-WB-09,Kirana Store,Durgapur,713204,2023-09-14,Active,
RET-00233,Jai Ganesh Stores - 14,DIST-008,T-WB-07,Kirana Store,Asansol,713302,2023-09-15,Active,
