primary_sale_id,invoice_id,invoice_date,grn_date,distributor_id,sku_id,dispatched_qty,received_qty,invoice_value_inr
PRI-100022,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-PNP-0100G,24,23,840
PRI-100023,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-RCP-0100G,48,47,1392
PRI-100024,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-RCP-0200G,72,71,3888
PRI-100025,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-TUR-0100G,48,47,1248
PRI-100026,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-TUR-0200G,72,71,3528
PRI-100027,INV-00009,2023-04-10,2023-04-11,DIST-009,OIL-MUS-0500M,48,47,3600
PRI-100028,INV-00009,2023-04-10,2023-04-11,DIST-009,OIL-MUS-1000M,108,107,14904
PRI-100029,INV-00009,2023-04-10,2023-04-11,DIST-009,OIL-MUS-5000M,40,39,22920
PRI-100030,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-COR-0100G,24,23,624
PRI-100031,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-COR-0200G,24,23,1104
PRI-100032,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-KKM-0050G,24,23,720
PRI-100033,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-KKM-0100G,24,23,1368
PRI-100034,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-PNP-0050G,24,23,456
PRI-100035,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-PNP-0100G,24,23,840
PRI-100036,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-RCP-0100G,48,47,1392
PRI-100037,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-RCP-0200G,72,71,3888
PRI-100038,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-TUR-0100G,48,47,1248
PRI-100039,INV-00009,2023-04-10,2023-04-11,DIST-009,SPC-TUR-0200G,72,71,3528
PRI-100040,INV-00010,2023-04-10,2023-04-13,DIST-010,OIL-MUS-0500M,48,47,3600
PRI-100041,INV-00010,2023-04-10,2023-04-13,DIST-010,OIL-MUS-1000M,108,107,14904
PRI-100042,INV-00010,2023-04-10,2023-04-13,DIST-010,OIL-MUS-5000M,40,39,22920
PRI-100043,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-COR-0100G,24,23,624
PRI-100044,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-COR-0200G,24,23,1104
PRI-100045,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-KKM-0050G,24,23,720
PRI-100046,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-KKM-0100G,24,23,1368
PRI-100047,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-PNP-0050G,24,23,456
PRI-100048,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-PNP-0100G,24,23,840
PRI-100049,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-RCP-0100G,48,47,1392
PRI-100050,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-RCP-0200G,72,71,3888
PRI-100051,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-TUR-0100G,48,47,1248
PRI-100052,INV-00010,2023-04-10,2023-04-13,DIST-010,SPC-TUR-0200G,72,71,3528
PRI-100053,INV-00005,2023-04-17,2023-04-19,DIST-005,OIL-MUS-0500M,48,47,3600
PRI-100054,INV-00005,2023-04-17,2023-04-19,DIST-005,OIL-MUS-1000M,84,83,11592
PRI-100055,INV-00005,2023-04-17,2023-04-19,DIST-005,OIL-MUS-5000M,32,31,18336
PRI-100056,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-COR-0100G,24,23,624
PRI-100057,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-COR-0200G,24,23,1104
PRI-100058,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-KKM-0050G,24,23,720
PRI-100059,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-KKM-0100G,24,23,1368
PRI-100060,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-PNP-0050G,24,23,456
PRI-100061,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-PNP-0100G,24,23,840
PRI-100062,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-RCP-0100G,48,47,1392
PRI-100063,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-RCP-0200G,72,71,3888
PRI-100064,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-TUR-0100G,48,47,1248
PRI-100065,INV-00005,2023-04-17,2023-04-19,DIST-005,SPC-TUR-0200G,72,71,3528
PRI-100066,INV-00006,2023-04-17,2023-04-20,DIST-006,OIL-MUS-0500M,48,47,3600
PRI-100067,INV-00006,2023-04-17,2023-04-20,DIST-006,OIL-MUS-1000M,84,83,11592
PRI-100068,INV-00006,2023-04-17,2023-04-20,DIST-006,OIL-MUS-5000M,32,31,18336
PRI-100069,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-COR-0100G,24,23,624
PRI-100070,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-COR-0200G,24,23,1104
PRI-100071,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-KKM-0050G,24,23,720
PRI-100072,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-KKM-0100G,24,23,1368
PRI-100073,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-PNP-0050G,24,23,456
PRI-100074,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-PNP-0100G,24,23,840
PRI-100075,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-RCP-0100G,48,47,1392
PRI-100076,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-RCP-0200G,72,71,3888
PRI-100077,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-TUR-0100G,48,47,1248
PRI-100078,INV-00006,2023-04-17,2023-04-20,DIST-006,SPC-TUR-0200G,72,71,3528
PRI-100079,INV-00007,2023-04-18,2023-04-20,DIST-007,OIL-MUS-0500M,48,47,3600
PRI-100080,INV-00007,2023-04-18,2023-04-20,DIST-007,OIL-MUS-1000M,84,83,11592
PRI-100081,INV-00007,2023-04-18,2023-04-20,DIST-007,OIL-MUS-5000M,32,31,18336
PRI-100082,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-COR-0100G,24,23,624
PRI-100083,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-COR-0200G,24,23,1104
PRI-100084,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-KKM-0050G,24,23,720
PRI-100085,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-KKM-0100G,24,23,1368
PRI-100086,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-PNP-0050G,24,23,456
PRI-100087,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-PNP-0100G,24,23,840
PRI-100088,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-RCP-0100G,48,47,1392
PRI-100089,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-RCP-0200G,72,71,3888
PRI-100090,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-TUR-0100G,48,47,1248
PRI-100091,INV-00007,2023-04-18,2023-04-20,DIST-007,SPC-TUR-0200G,72,71,3528
PRI-100092,INV-00011,2023-04-18,2023-04-19,DIST-011,OIL-MUS-0500M,48,47,3600
PRI-100093,INV-00011,2023-04-18,2023-04-19,DIST-011,OIL-MUS-1000M,108,106,14904
PRI-100094,INV-00011,2023-04-18,2023-04-19,DIST-011,OIL-MUS-5000M,40,39,22920
PRI-100095,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-COR-0100G,24,23,624
PRI-100096,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-COR-0200G,24,23,1104
PRI-100097,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-KKM-0050G,24,23,720
PRI-100098,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-KKM-0100G,24,23,1368
PRI-100099,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-PNP-0050G,24,23,456
PRI-100100,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-PNP-0100G,24,23,840
PRI-100101,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-RCP-0100G,48,47,1392
PRI-100102,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-RCP-0200G,72,71,3888
PRI-100103,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-TUR-0100G,48,47,1248
PRI-100104,INV-00011,2023-04-18,2023-04-19,DIST-011,SPC-TUR-0200G,72,71,3528
PRI-100105,INV-00008,2023-04-25,2023-04-26,DIST-008,OIL-MUS-0500M,48,47,3600
PRI-100106,INV-00008,2023-04-25,2023-04-26,DIST-008,OIL-MUS-1000M,108,107,14904
PRI-100107,INV-00008,2023-04-25,2023-04-26,DIST-008,OIL-MUS-5000M,40,39,22920
PRI-100108,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-COR-0100G,24,23,624
PRI-100109,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-COR-0200G,24,23,1104
PRI-100110,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-KKM-0050G,24,23,720
PRI-100111,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-KKM-0100G,24,23,1368
PRI-100112,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-PNP-0050G,24,23,456
PRI-100113,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-PNP-0100G,24,23,840
PRI-100114,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-RCP-0100G,48,47,1392
PRI-100115,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-RCP-0200G,72,71,3888
PRI-100116,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-TUR-0100G,48,47,1248
PRI-100117,INV-00008,2023-04-25,2023-04-26,DIST-008,SPC-TUR-0200G,72,71,3528
PRI-100118,INV-00001,2023-04-27,2023-05-01,DIST-001,OIL-MUS-0500M,48,47,3600
PRI-100119,INV-00001,2023-04-27,2023-05-01,DIST-001,OIL-MUS-1000M,108,107,14904
PRI-100120,INV-00001,2023-04-27,2023-05-01,DIST-001,OIL-MUS-5000M,40,39,22920
PRI-100121,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-COR-0100G,24,23,624
PRI-100122,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-COR-0200G,24,23,1104
PRI-100123,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-KKM-0050G,24,23,720
PRI-100124,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-KKM-0100G,24,23,1368
PRI-100125,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-PNP-0050G,24,23,456
PRI-100126,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-PNP-0100G,24,23,840
PRI-100127,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-RCP-0100G,48,47,1392
PRI-100128,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-RCP-0200G,72,71,3888
PRI-100129,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-TUR-0100G,48,47,1248
PRI-100130,INV-00001,2023-04-27,2023-05-01,DIST-001,SPC-TUR-0200G,72,71,3528
PRI-100131,INV-00003,2023-04-28,2023-05-01,DIST-003,OIL-MUS-0500M,48,47,3600
PRI-100132,INV-00003,2023-04-28,2023-05-01,DIST-003,OIL-MUS-1000M,84,83,11592
PRI-100133,INV-00003,2023-04-28,2023-05-01,DIST-003,OIL-MUS-5000M,32,31,18336
PRI-100134,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-COR-0100G,24,23,624
PRI-100135,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-COR-0200G,24,23,1104
PRI-100136,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-KKM-0050G,24,23,720
PRI-100137,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-KKM-0100G,24,23,1368
PRI-100138,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-PNP-0050G,24,23,456
PRI-100139,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-PNP-0100G,24,23,840
PRI-100140,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-RCP-0100G,48,47,1392
PRI-100141,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-RCP-0200G,72,71,3888
PRI-100142,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-TUR-0100G,48,47,1248
PRI-100143,INV-00003,2023-04-28,2023-05-01,DIST-003,SPC-TUR-0200G,72,71,3528
PRI-100144,INV-00022,2023-05-04,2023-05-08,DIST-011,OIL-MUS-0500M,48,47,3600
PRI-100145,INV-00022,2023-05-04,2023-05-08,DIST-011,OIL-MUS-1000M,108,107,14904
PRI-100146,INV-00022,2023-05-04,2023-05-08,DIST-011,OIL-MUS-5000M,40,39,22920
PRI-100147,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-COR-0100G,24,23,624
PRI-100148,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-COR-0200G,24,23,1104
PRI-100149,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-KKM-0050G,24,23,720
PRI-100150,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-KKM-0100G,24,23,1368
PRI-100151,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-PNP-0050G,24,23,456
PRI-100152,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-PNP-0100G,24,23,840
PRI-100153,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-RCP-0100G,48,47,1392
PRI-100154,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-RCP-0200G,72,71,3888
PRI-100155,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-TUR-0100G,48,47,1248
PRI-100156,INV-00022,2023-05-04,2023-05-08,DIST-011,SPC-TUR-0200G,72,71,3528
PRI-100157,INV-00012,2023-05-05,2023-05-06,DIST-001,OIL-MUS-0500M,48,47,3600
PRI-100158,INV-00012,2023-05-05,2023-05-06,DIST-001,OIL-MUS-1000M,108,106,14904
PRI-100159,INV-00012,2023-05-05,2023-05-06,DIST-001,OIL-MUS-5000M,40,39,22920
PRI-100160,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-COR-0100G,24,23,624
PRI-100161,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-COR-0200G,24,23,1104
PRI-100162,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-KKM-0050G,24,23,720
PRI-100163,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-KKM-0100G,24,23,1368
PRI-100164,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-PNP-0050G,24,23,456
PRI-100165,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-PNP-0100G,24,23,840
PRI-100166,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-RCP-0100G,48,47,1392
PRI-100167,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-RCP-0200G,72,71,3888
PRI-100168,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-TUR-0100G,48,47,1248
PRI-100169,INV-00012,2023-05-05,2023-05-06,DIST-001,SPC-TUR-0200G,72,71,3528
PRI-100170,INV-00021,2023-05-08,2023-05-11,DIST-010,OIL-MUS-0500M,48,47,3600
PRI-100171,INV-00021,2023-05-08,2023-05-11,DIST-010,OIL-MUS-1000M,108,107,14904
PRI-100172,INV-00021,2023-05-08,2023-05-11,DIST-010,OIL-MUS-5000M,40,39,22920
PRI-100173,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-COR-0100G,24,23,624
PRI-100174,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-COR-0200G,24,23,1104
PRI-100175,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-KKM-0050G,24,23,720
PRI-100176,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-KKM-0100G,24,23,1368
PRI-100177,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-PNP-0050G,24,23,456
PRI-100178,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-PNP-0100G,24,23,840
PRI-100179,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-RCP-0100G,48,47,1392
PRI-100180,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-RCP-0200G,72,71,3888
PRI-100181,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-TUR-0100G,48,47,1248
PRI-100182,INV-00021,2023-05-08,2023-05-11,DIST-010,SPC-TUR-0200G,72,71,3528
PRI-100183,INV-00013,2023-05-09,2023-05-10,DIST-002,OIL-MUS-0500M,48,47,3600
PRI-100184,INV-00013,2023-05-09,2023-05-10,DIST-002,OIL-MUS-1000M,108,107,14904
PRI-100185,INV-00013,2023-05-09,2023-05-10,DIST-002,OIL-MUS-5000M,40,39,22920
PRI-100186,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-COR-0100G,24,23,624
PRI-100187,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-COR-0200G,24,23,1104
PRI-100188,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-KKM-0050G,24,23,720
PRI-100189,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-KKM-0100G,24,23,1368
PRI-100190,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-PNP-0050G,24,23,456
PRI-100191,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-PNP-0100G,24,23,840
PRI-100192,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-RCP-0100G,48,47,1392
PRI-100193,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-RCP-0200G,72,71,3888
PRI-100194,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-TUR-0100G,48,47,1248
PRI-100195,INV-00013,2023-05-09,2023-05-10,DIST-002,SPC-TUR-0200G,72,71,3528
PRI-100196,INV-00018,2023-05-12,2023-05-15,DIST-007,OIL-MUS-0500M,48,47,3600
PRI-100197,INV-00018,2023-05-12,2023-05-15,DIST-007,OIL-MUS-1000M,84,83,11592
PRI-100198,INV-00018,2023-05-12,2023-05-15,DIST-007,OIL-MUS-5000M,32,31,18336
PRI-100199,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-COR-0100G,24,23,624
PRI-100200,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-COR-0200G,24,23,1104
PRI-100201,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-KKM-0050G,24,23,720
PRI-100202,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-KKM-0100G,24,23,1368
PRI-100203,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-PNP-0050G,24,23,456
PRI-100204,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-PNP-0100G,24,23,840
PRI-100205,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-RCP-0100G,48,47,1392
PRI-100206,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-RCP-0200G,72,71,3888
PRI-100207,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-TUR-0100G,48,47,1248
PRI-100208,INV-00018,2023-05-12,2023-05-15,DIST-007,SPC-TUR-0200G,72,71,3528
PRI-100209,INV-00014,2023-05-17,2023-05-18,DIST-003,OIL-MUS-0500M,48,47,3600
PRI-100210,INV-00014,2023-05-17,2023-05-18,DIST-003,OIL-MUS-1000M,84,83,11592
PRI-100211,INV-00014,2023-05-17,2023-05-18,DIST-003,OIL-MUS-5000M,32,31,18336
PRI-100212,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-COR-0100G,24,23,624
PRI-100213,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-COR-0200G,24,23,1104
PRI-100214,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-KKM-0050G,24,23,720
PRI-100215,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-KKM-0100G,24,23,1368
PRI-100216,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-PNP-0050G,24,23,456
PRI-100217,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-PNP-0100G,24,23,840
PRI-100218,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-RCP-0100G,48,47,1392
PRI-100219,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-RCP-0200G,72,71,3888
PRI-100220,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-TUR-0100G,48,47,1248
PRI-100221,INV-00014,2023-05-17,2023-05-18,DIST-003,SPC-TUR-0200G,72,71,3528
PRI-100222,INV-00016,2023-05-22,2023-05-24,DIST-005,OIL-MUS-0500M,48,47,3600
PRI-100223,INV-00016,2023-05-22,2023-05-24,DIST-005,OIL-MUS-1000M,84,83,11592
PRI-100224,INV-00016,2023-05-22,2023-05-24,DIST-005,OIL-MUS-5000M,32,31,18336
PRI-100225,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-COR-0100G,24,23,624
PRI-100226,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-COR-0200G,24,23,1104
PRI-100227,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-KKM-0050G,24,23,720
PRI-100228,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-KKM-0100G,24,23,1368
PRI-100229,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-PNP-0050G,24,23,456
PRI-100230,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-PNP-0100G,24,23,840
PRI-100231,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-RCP-0100G,48,47,1392
PRI-100232,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-RCP-0200G,72,71,3888
PRI-100233,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-TUR-0100G,48,47,1248
PRI-100234,INV-00016,2023-05-22,2023-05-24,DIST-005,SPC-TUR-0200G,72,71,3528
PRI-100235,INV-00019,2023-05-22,2023-05-24,DIST-008,OIL-MUS-0500M,48,47,3600
PRI-100236,INV-00019,2023-05-22,2023-05-24,DIST-008,OIL-MUS-1000M,108,107,14904
PRI-100237,INV-00019,2023-05-22,2023-05-24,DIST-008,OIL-MUS-5000M,40,39,22920
PRI-100238,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-COR-0100G,24,23,624
PRI-100239,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-COR-0200G,24,23,1104
PRI-100240,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-KKM-0050G,24,23,720
PRI-100241,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-KKM-0100G,24,23,1368
PRI-100242,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-PNP-0050G,24,23,456
PRI-100243,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-PNP-0100G,24,23,840
PRI-100244,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-RCP-0100G,48,47,1392
PRI-100245,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-RCP-0200G,72,71,3888
PRI-100246,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-TUR-0100G,48,47,1248
PRI-100247,INV-00019,2023-05-22,2023-05-24,DIST-008,SPC-TUR-0200G,72,71,3528
PRI-100248,INV-00017,2023-05-24,2023-05-25,DIST-006,OIL-MUS-0500M,48,47,3600
PRI-100249,INV-00017,2023-05-24,2023-05-25,DIST-006,OIL-MUS-1000M,84,83,11592
PRI-100250,INV-00017,2023-05-24,2023-05-25,DIST-006,OIL-MUS-5000M,32,31,18336
PRI-100251,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-COR-0100G,24,23,624
PRI-100252,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-COR-0200G,24,23,1104
PRI-100253,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-KKM-0050G,24,23,720
PRI-100254,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-KKM-0100G,24,23,1368
PRI-100255,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-PNP-0050G,24,23,456
PRI-100256,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-PNP-0100G,24,23,840
PRI-100257,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-RCP-0100G,48,47,1392
PRI-100258,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-RCP-0200G,72,71,3888
PRI-100259,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-TUR-0100G,48,47,1248
PRI-100260,INV-00017,2023-05-24,2023-05-25,DIST-006,SPC-TUR-0200G,72,71,3528
PRI-100261,INV-00015,2023-05-26,2023-05-29,DIST-004,OIL-MUS-0500M,48,47,3600
PRI-100262,INV-00015,2023-05-26,2023-05-29,DIST-004,OIL-MUS-1000M,108,107,14904
PRI-100263,INV-00015,2023-05-26,2023-05-29,DIST-004,OIL-MUS-5000M,40,39,22920
PRI-100264,INV-00015,2023-05-26,2023-05-29,DIST-004,SPC-COR-0100G,24,23,624
PRI-100265,INV-00015,2023-05-26,2023-05-29,DIST-004,SPC-COR-0200G,24,23,1104
PRI-100266,INV-00015,2023-05-26,2023-05-29,DIST-004,SPC-KKM-0050G,24,23,720
PRI-100267,INV-00015,2023-05-26,2023-05-29,DIST-004,SPC-KKM-0100G,24,23,1368
PRI-100268,INV-00015,2023-05-26,2023-05-29,DIST-004,SPC-PNP-0050G,24,23,456
PRI-100269,INV-00015,2023-05-26,2023-05-29,DIST-004,SPC-PNP-0100G,24,23,840
